city,CO,NO2,O3,SO2,PM2.5,PM10
Grand Prairie,280.38,12.17,37.91,1.12,3.78,4.22
Chattanooga,208.62,2.08,58.65,0.28,3.86,5.42
Ontario,213.62,3.17,94.41,0.86,1.49,3.58
Visalia,270.37,2.74,97.28,0.78,11.63,14.28
Clarksville,267.03,5.91,57.22,5.13,4.56,5.35
Kennewick,273.71,6.43,43.63,0.32,4.05,6.27
Pasadena,236.99,9.25,86.55,2.27,2.35,6.51
Saint George,233.65,0.8,43.27,0.44,1.03,2.81
Davie,223.64,6.43,74.39,1.8,2.48,4.02
Clearwater,250.34,1.37,121.59,0.75,11.98,18.98
Port Saint Lucie,198.6,2.04,94.41,0.4,1.15,3.82
Pittsburg,260.35,8.57,58.65,4.77,1.48,2.15
Medford,433.92,41.13,6.26,1.97,5.47,7.52
North Richland Hills,243.66,3.56,50.07,0.28,2.5,2.63
Skokie,243.66,4.11,78.68,0.87,0.94,1.5
Missouri City,216.96,6.51,87.98,2.77,3.74,9.31
Miramar,216.96,6.86,72.24,1.55,2.29,4.03
Union City,921.25,106.93,18.95,20.98,48.2,66.17
West Jordan,210.29,4.63,69.38,3.1,2.28,3.91
Evansville,253.68,7.28,65.09,10.37,3.6,4.25
The Woodlands,223.64,9.6,77.96,2.59,3.52,6.47
Town 'n' Country,267.03,7.45,111.58,1.1,9.14,14.43
Rochester Hills,230.31,2.21,77.96,1.03,0.91,1.32
Suffolk,250.34,2.25,91.55,1.58,16.2,18.28
Colorado Springs,210.29,1.74,70.1,0.22,4.75,5.58
Lewisville,243.66,4.07,47.92,0.31,2.38,2.5
Santa Maria,267.03,2.4,33.98,0.38,2.0,2.34
Mount Pleasant,250.34,3.51,30.76,0.98,6.72,7.03
Schaumburg,233.65,1.69,79.39,0.33,0.77,1.25
Manteca,397.21,17.48,33.98,3.19,11.9,17.76
Birmingham,230.31,7.54,55.79,2.53,0.59,0.9
Aurora,230.31,1.46,80.82,0.36,0.74,1.3
Rockville,243.66,5.48,79.39,2.5,4.26,4.68
Roswell,211.95,2.87,79.39,2.89,8.14,12.96
Knoxville,230.31,5.4,55.79,1.48,3.33,4.08
San Marcos,210.29,8.14,54.36,0.28,2.24,4.57
Vallejo,313.76,12.17,49.35,1.15,4.38,8.12
San Francisco,250.34,4.63,82.97,0.78,2.78,3.96
